Initializing Parameters Merge
Initializing Parameters Split
Reading train dataset for 1 scales
Reading train dataset for 2 scales
Reading train dataset for 3 scales
Reading test dataset for 5 scales
TRAINING --> | Epoch 0 | Iter 0 / 8192 | Loss 85.96346282958984 | Accuracy Train 0.0 | Elapsed 1.333191156387329 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 128 / 8192 | Loss 17.42550277709961 | Accuracy Train 0.0 | Elapsed 0.8840863704681396 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 256 / 8192 | Loss 4.972437858581543 | Accuracy Train 0.109375 | Elapsed 0.8522481918334961 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 384 / 8192 | Loss 3.193859100341797 | Accuracy Train 0.2890625 | Elapsed 0.8537583351135254 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 512 / 8192 | Loss 2.3855321407318115 | Accuracy Train 0.3046875 | Elapsed 0.8543779850006104 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 640 / 8192 | Loss 1.9335265159606934 | Accuracy Train 0.453125 | Elapsed 0.8557846546173096 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 768 / 8192 | Loss 2.0271358489990234 | Accuracy Train 0.4296875 | Elapsed 0.8545277118682861 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 896 / 8192 | Loss 1.6027082204818726 | Accuracy Train 0.4453125 | Elapsed 0.8610541820526123 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 1024 / 8192 | Loss 1.899580478668213 | Accuracy Train 0.4296875 | Elapsed 0.8560845851898193 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 1152 / 8192 | Loss 1.2675135135650635 | Accuracy Train 0.578125 | Elapsed 0.8778572082519531 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 1280 / 8192 | Loss 1.296363353729248 | Accuracy Train 0.578125 | Elapsed 0.9109370708465576 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 1408 / 8192 | Loss 1.4168264865875244 | Accuracy Train 0.625 | Elapsed 0.8580880165100098 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 1536 / 8192 | Loss 1.2784020900726318 | Accuracy Train 0.625 | Elapsed 0.8571689128875732 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 1664 / 8192 | Loss 1.2552956342697144 | Accuracy Train 0.515625 | Elapsed 0.8576340675354004 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 1792 / 8192 | Loss 1.1811856031417847 | Accuracy Train 0.5859375 | Elapsed 0.9193799495697021 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 1920 / 8192 | Loss 1.0808629989624023 | Accuracy Train 0.671875 | Elapsed 0.8585469722747803 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 2048 / 8192 | Loss 1.0150384902954102 | Accuracy Train 0.703125 | Elapsed 0.8591959476470947 | dynamic True | Learning Rate 0.001
